epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_seconds
1,0.5990896241915853,0.8526973684210526,0.8587128451954993,0.8434899267399267,0.8503901928521922,0.2839591052532196,0.997,0.9940618324308307,0.9987999999999999,0.9964137356758126,9.755282581475769e-05,3253.143916606903
2,0.3046778531764683,0.9817763157894737,0.9818004734324963,0.983182967032967,0.9824835028360264,0.2793805094957352,0.99475,0.9903525015089653,0.9975000000000002,0.9938167835681023,9.045084971874737e-05,6195.529504776001
3,0.277405714863225,0.9921052631578947,0.9922163058745654,0.9926296703296703,0.9924216900007593,0.2721980086565018,0.99825,0.9980964216572149,0.9977,0.9978966401894969,7.938926261462366e-05,7457.209017038345
4,0.2678123244172648,0.9956578947368421,0.9954519457641607,0.9960750915750916,0.9957615674077609,0.26802895629405976,0.9975,0.9950834064969272,0.999,0.997019795730159,6.545084971874737e-05,3275.9752283096313
5,0.2602102116220876,0.9971710526315789,0.9970653446240221,0.9971663003663004,0.997115634918311,0.2642982233762741,0.9985,0.998202462561564,0.9982,0.9981987406171289,4.9999999999999996e-05,2714.9725320339203
6,0.25774856711688793,0.9976315789473684,0.9975021942651813,0.9976078754578754,0.9975549060601179,0.2666675127744675,0.99775,0.9955651716845747,0.9991,0.9973154117773497,3.454915028125263e-05,2502.4121441841125
7,0.2556744528130481,0.9979605263157895,0.9980189746145192,0.9981210622710621,0.9980698178599343,0.2712632514238357,0.99675,0.9943693754852869,0.9978999999999999,0.9961199466163186,2.0610737385376345e-05,2427.3953053951263
8,0.25297643332104935,0.9986184210526315,0.9986988910328032,0.9986736263736263,0.9986861282365608,0.27014538979530334,0.9975,0.9954622887193569,0.9986,0.9970151140033991,9.549150281252631e-06,2465.3176794052124
9,0.25139535499246496,0.9989473684210526,0.9989243844207907,0.998924358974359,0.998924358958415,0.26923228704929353,0.9975,0.9950713628132982,0.999,0.9970167285375151,2.447174185242323e-06,2586.4742317199707
10,0.2515804108193046,0.9989473684210526,0.9988914988069861,0.9989362637362638,0.9989138198010767,0.2670837732553482,0.998,0.9960493100997475,0.9992000000000001,0.9976116115326883,0.0,2418.4037873744965
